InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,TotalPrice
1000,2011-07-27,1,UK,P1333,Electronics,2,235.22,470.44
1001,2011-07-20,1,UK,P2874,Clothing,2,75.9,151.8
1001,2011-07-20,1,UK,P5198,Sports,2,82.59,165.18
1002,2011-05-16,1,UK,P2876,Sports,5,69.29,346.45000000000005
1002,2011-05-16,1,UK,P1420,Clothing,3,72.3,216.89999999999998
1003,2011-06-05,2,Netherlands,P4978,Books,-2,86.43,172.86
1003,2011-06-05,2,Netherlands,P2983,Electronics,3,113.69,341.07
1003,2011-06-05,2,Netherlands,P8018,Sports,1,54.05,54.05
1003,2011-06-05,2,Netherlands,P6590,Home,1,29.91,29.91
1004,2011-04-20,3,Germany,P8532,Books,3,73.5,220.5
1005,2011-02-11,3,Germany,P5425,Clothing,5,93.27,466.34999999999997
1005,2011-02-11,3,Germany,P8616,Sports,5,26.25,131.25
1005,2011-02-11,3,Germany,P5022,Books,5,61.12,305.59999999999997
1005,2011-02-11,3,Germany,P4995,Electronics,3,92.39,277.17
1006,2011-05-01,3,Germany,P9098,Sports,4,13.06,52.24
1006,2011-05-01,3,Germany,P6813,Home,2,72.77,145.54
1006,2011-05-01,3,Germany,P5526,Home,3,36.76,110.28
1006,2011-05-01,3,Germany,P4130,Sports,1,93.2,93.2
1006,2011-05-01,3,Germany,P9004,Electronics,2,254.36,508.72
1007,2011-06-19,4,UK,P4630,Books,-1,84.6,84.6
1007,2011-06-19,4,UK,P7046,Books,2,13.33,26.66
1007,2011-06-19,4,UK,P7971,Books,5,63.66,318.29999999999995
1007,2011-06-19,4,UK,P8434,Sports,3,30.7,92.1
1008,2011-04-28,4,UK,P9779,Electronics,2,88.51,177.02
1008,2011-04-28,4,UK,P8933,Clothing,2,16.93,33.86
1009,2011-04-29,4,UK,P4180,Sports,3,72.67,218.01
1009,2011-04-29,4,UK,P5952,Home,2,40.59,81.18
1009,2011-04-29,4,UK,P1745,Electronics,5,206.33,1031.65
1009,2011-04-29,4,UK,P3068,Electronics,5,77.74,388.7
1009,2011-04-29,4,UK,P5658,Books,1,38.38,38.38
1010,2011-06-18,4,UK,P1841,Books,3,58.55,175.64999999999998
1010,2011-06-18,4,UK,P2070,Home,4,81.17,324.68
1010,2011-06-18,4,UK,P1878,Books,-4,38.69,154.76
1010,2011-06-18,4,UK,P5978,Clothing,2,66.33,132.66
