customerID,Churn,Churn_Probability,Risk_Tier
7590-VHVEG,No,0.7561348253090739,Critical
5575-GNVDE,No,0.12169380425505819,Low
3668-QPYBK,Yes,0.5112222456711298,High
7795-CFOCW,No,0.10319944451877255,Low
9237-HQITU,Yes,0.8533926785044174,Critical
9305-CDSKC,Yes,0.9207729855001041,Critical
1452-KIOVK,No,0.7372741522665592,Critical
6713-OKOMC,No,0.4606461582850611,Medium
7892-POOKP,Yes,0.8005455729221831,Critical
6388-TABGU,No,0.037772593993114105,Low
9763-GRSKD,No,0.39354418515019696,Medium
7469-LKBCI,No,0.07513749906952817,Low
8091-TTVAX,No,0.37898954557557396,Medium
0280-XJGEX,Yes,0.6910467767758925,High
5129-JLPIS,No,0.7453907562094763,Critical
3655-SNQYZ,No,0.078533212970328,Low
8191-XWSZG,No,0.05388149148818656,Low
9959-WOFKT,No,0.08591439617708278,Low
4190-MFLUW,Yes,0.31544104857828015,Medium
4183-MYFRB,No,0.8026220060354178,Critical
8779-QRDMV,Yes,0.8622550969447905,Critical
1680-VDCWW,No,0.14851001383012172,Low
1066-JKSGK,Yes,0.36202759132277723,Medium
3638-WEABW,No,0.053986527572049955,Low
6322-HRPFA,No,0.10346145795251072,Low
6865-JZNKO,No,0.27804397739385905,Low
6467-CHFZW,Yes,0.7240748355523546,Critical
8665-UTDHZ,Yes,0.6331769603788733,High
5248-YGIJN,No,0.05511030531504547,Low
8773-HHUOZ,Yes,0.6342536191694986,High
3841-NFECX,No,0.08364641955962884,Low
4929-XIHVW,No,0.8990392069350728,Critical
6827-IEAUQ,No,0.09546605999422093,Low
7310-EGVHZ,No,0.33963783709211176,Medium
3413-BMNZE,No,0.6066557969286434,High
6234-RAAPL,No,0.05084284630409396,Low
6047-YHPVI,Yes,0.8494285237638268,Critical
6572-ADKRS,No,0.5306147442582824,High
5380-WJKOV,Yes,0.8222194213280627,Critical
8168-UQWWF,Yes,0.8862536928170258,Critical
8865-TNMNX,No,0.2592440221271501,Low
9489-DEDVP,No,0.03701837771452569,Low
9867-JCZSP,No,0.1097988100868493,Low
4671-VJLCL,No,0.05163778139563046,Low
4080-IIARD,No,0.5756689895944581,High
3714-NTNFO,No,0.7332666665423578,Critical
5948-UJZLF,No,0.5485679241741509,High
7760-OYPDY,Yes,0.882139479284614,Critical
7639-LIAYI,No,0.11100556079833981,Low
2954-PIBKO,No,0.03137038090722277,Low
8012-SOUDQ,No,0.7576706517924174,Critical
9420-LOJKX,Yes,0.7257543652915284,Critical
6575-SUVOI,No,0.4929338393921633,Medium
7495-OOKFY,Yes,0.8224821211750861,Critical
4667-QONEA,No,0.08470054346764745,Low
1658-BYGOY,Yes,0.9141066402104823,Critical
8769-KKTPH,No,0.26086370216339555,Low
5067-XJQFU,No,0.3590106636947741,Medium
3957-SQXML,No,0.04389280472845201,Low
5954-BDFSG,No,0.14648466839438115,Low
0434-CSFON,No,0.7800689455184392,Critical
1215-FIGMP,No,0.5309854945101397,High
0526-SXDJP,No,0.023909246600890305,Low
0557-ASKVU,No,0.20408310528261162,Low
5698-BQJOH,Yes,0.8879327555083781,Critical
5122-CYFXA,No,0.702820198935966,Critical
8627-ZYGSZ,No,0.4735255248679265,Medium
3410-YOQBQ,No,0.11803440583947009,Low
3170-NMYVV,No,0.02120017875498951,Low
7410-OIEDU,No,0.6837086657834057,High
2273-QCKXA,No,0.47958316143224033,Medium
0731-EBJQB,No,0.07773661703186982,Low
1891-QRQSA,No,0.15541664642925182,Low
8028-PNXHQ,No,0.029644873712458577,Low
5630-AHZIL,No,0.5033536033494208,High
2673-CXQEU,No,0.36142321922774834,Medium
6416-JNVRK,No,0.17583629847826926,Low
5590-ZSKRV,No,0.30752545972220785,Medium
0191-ZHSKZ,No,0.5568314542823765,High
3887-PBQAO,No,0.08529130019440789,Low
5919-TMRGD,Yes,0.8641418084770321,Critical
8108-UXRQN,No,0.5946315690210877,High
9191-MYQKX,Yes,0.775379936950555,Critical
9919-YLNNG,No,0.5625446799196506,High
0318-ZOPWS,No,0.03926732303859478,Low
4445-ZJNMU,No,0.8781626649818959,Critical
4808-YNLEU,No,0.1780731848876578,Low
1862-QRWPE,No,0.022127454645699,Low
2796-NNUFI,No,0.0375613908907821,Low
3016-KSVCP,No,0.5268851612277781,High
4767-HZZHQ,No,0.44856711113338754,Medium
2424-WVHPL,No,0.7733263241297247,Critical
7233-PAHHL,No,0.0667952050814332,Low
6067-NGCEU,No,0.42782142574095544,Medium
9848-JQJTX,No,0.22772629031884317,Low
8637-XJIVR,Yes,0.7781289926950947,Critical
9803-FTJCG,No,0.04849868719274623,Low
0278-YXOOG,Yes,0.3269721190368865,Medium
3212-KXOCR,No,0.025733196277753095,Low
4598-XLKNJ,Yes,0.8528851504213234,Critical
6380-ARCEH,No,0.3616832622457772,Medium
3679-XASPY,No,0.36354100678789675,Medium
7123-WQUHX,No,0.33830297702620477,Medium
5386-THSLQ,No,0.13535086513017094,Low
3192-NQECA,Yes,0.15492680939725834,Low
6180-YBIQI,No,0.6376729223876436,High
6728-DKUCO,No,0.2559458882250136,Low
9750-BOOHV,No,0.1737068388695826,Low
8597-CWYHH,No,0.5227288260781463,High
2848-YXSMW,No,0.011884461700753007,Low
0486-HECZI,Yes,0.5088205722369307,High
4549-ZDQYY,No,0.0697489598282394,Low
5712-AHQNN,No,0.651967418441486,High
4846-WHAFZ,Yes,0.7598105500214593,Critical
5256-SKJGO,No,0.09340862076440547,Low
3071-VBYPO,No,0.6786039244733116,High
9560-BBZXK,No,0.0764077434118066,Low
5299-RULOA,Yes,0.8321400669612871,Critical
8402-OOOHJ,No,0.03790694149640891,Low
9445-ZUEQE,No,0.5332639536478065,High
1091-SOZGA,No,0.42126462011515425,Medium
2928-HLDBA,No,0.31621544977478316,Medium
0404-SWRVG,Yes,0.8879281071113885,Critical
6497-TILVL,No,0.33697704320553,Medium
7219-TLZHO,No,0.27546370233558215,Low
4622-YNKIJ,No,0.2950191213160411,Low
4412-YLTKF,Yes,0.8257633501352305,Critical
6734-PSBAW,No,0.02863675601324555,Low
3930-ZGWVE,No,0.3647872363292282,Medium
2639-UGMAZ,No,0.1912001854929089,Low
2876-GZYZC,No,0.8834529331397162,Critical
6207-WIOLX,Yes,0.47355200891431226,Medium
8587-XYZSF,No,0.026358548847655826,Low
3091-FYHKI,Yes,0.8355273301218699,Critical
2372-HWUHI,Yes,0.6449933321317789,High
7799-LGRDP,No,0.06025223279106374,Low
7850-VWJUU,No,0.5657111376076199,High
3774-VBNXY,No,0.015549491129225709,Low
6217-KDYWC,No,0.02901244272247185,Low
0390-DCFDQ,Yes,0.8474753712511046,Critical
3146-MSEGF,No,0.054625397187984294,Low
4080-OGPJL,Yes,0.5788418525557263,High
1095-WGNGG,No,0.2516402067774578,Low
2636-SJDOU,No,0.18354485563872658,Low
1131-QQZEB,No,0.024536930559933706,Low
5716-EZXZN,No,0.08928462292852817,Low
6837-BJYDQ,No,0.20405892673624962,Low
2135-RXIHG,Yes,0.7236289456791373,Critical
6440-DKQGE,No,0.18658413807683744,Low
3466-BYAVD,No,0.44590641685255045,Medium
3780-YVMFA,No,0.6565262265711429,High
3874-EQOEP,Yes,0.8668352186344297,Critical
1679-JRFBR,No,0.20648655444900987,Low
9073-ZZIAY,No,0.043541239467891665,Low
3077-RSNTJ,No,0.27018770007632553,Low
6551-GNYDG,No,0.7521252738255888,Critical
9167-APMXZ,No,0.7971510861174673,Critical
2749-CTKAJ,No,0.10053310000138362,Low
6371-NZYEG,No,0.11284867495819366,Low
7554-NEWDD,No,0.10714162345404502,Low
8992-VONJD,No,0.41398773181196397,Medium
0867-MKZVY,Yes,0.6301361555331566,High
4482-EWFMI,No,0.8571740303989862,Critical
4648-YPBTM,No,0.08913436929040021,Low
2907-ILJBN,No,0.12879821517840664,Low
6345-FZOQH,No,0.017663461624916,Low
3376-BMGFE,Yes,0.7906396848419625,Critical
5997-OPVFA,No,0.056740478777842884,Low
3445-HXXGF,Yes,0.4940206121640325,Medium
1159-WFSGR,No,0.26086289745787483,Low
7654-YWJUF,No,0.24627323883007857,Low
1875-QIVME,Yes,0.8975775538928517,Critical
6727-IOTLZ,No,0.1710282776649302,Low
0691-JVSYA,Yes,0.4330736312882275,Medium
5918-VUKWP,No,0.08532290131002138,Low
1744-JHKYS,No,0.26077931686797656,Low
2656-FMOKZ,Yes,0.8328716138538383,Critical
2070-FNEXE,Yes,0.626266690540652,High
5947-SGKCL,No,0.8133673260351396,Critical
3712-PKXZA,No,0.05546848655673512,Low
6317-YPKDH,Yes,0.6011011975194308,High
6582-OIVSP,No,0.5758605603308538,High
9367-WXLCH,Yes,0.8195309123887498,Critical
5524-KHNJP,No,0.16147466855030015,Low
1918-ZBFQJ,Yes,0.7912038146113769,Critical
1024-GUALD,Yes,0.7806515081877409,Critical
4827-USJHP,No,0.48810712172547194,Medium
8167-GJLRN,No,0.600111669312456,High
0956-SYCWG,No,0.1943934595734346,Low
8017-UVSZU,No,0.29637786745395617,Low
7100-FQPRV,No,0.15580675574294012,Low
2472-OVKUP,Yes,0.8619793973766305,Critical
2984-RGEYA,No,0.012391544598175201,Low
9680-NIAUV,No,0.07507655399083095,Low
2146-EGVDT,No,0.017362847456325145,Low
2604-IJPDU,No,0.6650243900236368,High
9178-JHUVJ,No,0.08564821161715203,Low
6168-YBYNP,No,0.5846999210776743,High
7255-SSFBC,No,0.10734340663200698,Low
