客户ID,优先级,流失概率,在网月数,合约类型,月费,历史总消费,上网服务,支付方式,在线安全,技术支持,在线备份,流媒体电视,流媒体电影,老年人,有伴侣,有子女,性别,电子账单
9497-QCMMS,P1-Extreme,97.8%,1,Month-to-month,93.55,93.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
9300-AGZNL,P1-Extreme,97.8%,1,Month-to-month,94.0,94.0,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
5178-LMXOP,P1-Extreme,97.6%,1,Month-to-month,95.1,95.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
7216-EWTRS,P1-Extreme,97.6%,1,Month-to-month,100.8,100.8,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Female,Yes
7024-OHCCK,P1-Extreme,97.4%,2,Month-to-month,93.85,170.85,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
2720-WGKHP,P1-Extreme,97.3%,2,Month-to-month,94.0,181.7,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
8149-RSOUN,P1-Extreme,97.2%,1,Month-to-month,93.85,93.85,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
4424-TKOPW,P1-Extreme,97.2%,2,Month-to-month,93.85,196.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
4910-GMJOT,P1-Extreme,97.1%,1,Month-to-month,94.6,94.6,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
0295-PPHDO,P1-Extreme,97.0%,1,Month-to-month,95.45,95.45,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
5419-JPRRN,P1-Extreme,96.9%,1,Month-to-month,101.45,101.45,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
6521-YYTYI,P1-Extreme,96.8%,1,Month-to-month,93.3,93.3,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,Yes,Male,Yes
3068-OMWZA,P1-Extreme,96.8%,1,Month-to-month,88.8,88.8,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Male,Yes
5567-WSELE,P1-Extreme,96.8%,3,Month-to-month,94.6,279.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
0107-YHINA,P1-Extreme,96.7%,1,Month-to-month,99.75,99.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,Yes,Male,Yes
1069-XAIEM,P1-Extreme,96.6%,1,Month-to-month,85.05,85.05,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
1415-YFWLT,P1-Extreme,96.6%,1,Month-to-month,89.3,89.3,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
6496-SLWHQ,P1-Extreme,96.5%,3,Month-to-month,105.0,294.45,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Male,Yes
4695-WJZUE,P1-Extreme,96.4%,2,Month-to-month,88.55,179.25,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
3158-MOERK,P1-Extreme,96.2%,2,Month-to-month,96.0,174.8,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
4826-XTSOH,P1-Extreme,96.2%,1,Month-to-month,86.05,86.05,Fiber optic,Electronic check,No,No,No,Yes,No,1,Yes,No,Male,Yes
3722-WPXTK,P1-Extreme,96.2%,1,Month-to-month,88.35,88.35,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
5150-ITWWB,P1-Extreme,96.1%,3,Month-to-month,94.85,335.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
5192-EBGOV,P1-Extreme,96.1%,1,Month-to-month,85.7,85.7,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,Yes
7851-WZEKY,P1-Extreme,96.1%,2,Month-to-month,95.15,196.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
3988-RQIXO,P1-Extreme,96.1%,1,Month-to-month,91.3,91.3,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
7181-BQYBV,P1-Extreme,96.1%,1,Month-to-month,102.45,102.45,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,Yes,Yes,Female,Yes
1455-ESIQH,P1-Extreme,96.0%,1,Month-to-month,89.1,89.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
1400-MMYXY,P1-Extreme,96.0%,3,Month-to-month,105.9,334.65,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
7577-SWIFR,P1-Extreme,96.0%,1,Month-to-month,89.25,89.25,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
2545-EBUPK,P1-Extreme,95.9%,2,Month-to-month,84.05,186.05,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
0021-IKXGC,P1-Extreme,95.9%,1,Month-to-month,72.1,72.1,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
0970-ETWGE,P1-Extreme,95.9%,1,Month-to-month,89.55,89.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
9282-IZGQK,P1-Extreme,95.9%,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
8775-LHDJH,P1-Extreme,95.8%,1,Month-to-month,90.6,90.6,Fiber optic,Electronic check,No,No,Yes,Yes,No,1,Yes,No,Female,Yes
3027-ZTDHO,P1-Extreme,95.8%,1,Month-to-month,89.9,89.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
3049-SOLAY,P1-Extreme,95.7%,3,Month-to-month,95.2,292.85,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Female,Yes
6513-EECDB,P1-Extreme,95.7%,1,Month-to-month,73.55,73.55,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
2725-KXXWT,P1-Extreme,95.6%,1,Month-to-month,90.75,90.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Male,Yes
4912-PIGUY,P1-Extreme,95.6%,1,Month-to-month,84.6,84.6,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
7274-RTAPZ,P1-Extreme,95.6%,1,Month-to-month,90.55,90.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
3489-HHPFY,P1-Extreme,95.6%,2,Month-to-month,84.05,134.05,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Female,Yes
8473-VUVJN,P1-Extreme,95.5%,1,Month-to-month,73.65,73.65,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
8603-IJWDN,P1-Extreme,95.5%,1,Month-to-month,86.6,86.6,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
4102-OQUPX,P1-Extreme,95.4%,1,Month-to-month,74.4,74.4,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
6023-YEBUP,P1-Extreme,95.4%,3,Month-to-month,100.95,329.95,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
6230-BSUXY,P1-Extreme,95.3%,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
3551-HUAZH,P1-Extreme,95.3%,1,Month-to-month,74.4,74.4,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
0723-DRCLG,P1-Extreme,95.2%,1,Month-to-month,74.45,74.45,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Female,Yes
1833-VGRUM,P1-Extreme,95.2%,1,Month-to-month,74.2,74.2,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
9057-SIHCH,P1-Extreme,95.2%,3,Month-to-month,96.6,291.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
5240-IJOQT,P1-Extreme,95.2%,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
3178-FESZO,P1-Extreme,95.2%,1,Month-to-month,100.25,100.25,Fiber optic,Credit card (automatic),No,No,Yes,Yes,Yes,0,No,No,Female,Yes
8580-AECUZ,P1-Extreme,95.1%,1,Month-to-month,79.1,79.1,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Male,Yes
1875-QIVME,P1-Extreme,95.1%,2,Month-to-month,104.4,242.8,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,Yes,No,Female,Yes
5277-ZLOOR,P1-Extreme,95.0%,2,Month-to-month,85.55,187.45,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,Yes
4988-IQIGL,P1-Extreme,95.0%,1,Month-to-month,75.35,75.35,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
