CustomerID,Recency,Frequency,Total_Items,Monetary,Avg_Order_Value,Cluster,Cluster_Name
CUST_0001,110,1,5,124.60000000000001,124.60000000000001,0,At Risk / Lost
CUST_0002,29,22,266,13830.47,628.6577272727272,1,VIP
CUST_0003,21,24,225,10821.37,450.8904166666667,1,VIP
CUST_0004,107,3,21,511.45000000000005,170.48333333333335,2,Dormant
CUST_0005,147,3,18,835.47,278.49,2,Dormant
CUST_0006,39,7,52,1753.83,250.54714285714286,2,Dormant
CUST_0007,317,1,1,18.81,18.81,0,At Risk / Lost
CUST_0008,30,5,28,796.75,159.35,2,Dormant
CUST_0009,1,14,82,3667.27,261.9478571428571,1,VIP
CUST_0010,9,30,405,38863.94,1295.4646666666667,1,VIP
CUST_0011,19,1,5,413.5,413.5,3,Standard
CUST_0012,326,1,5,77.0,77.0,0,At Risk / Lost
CUST_0013,1,12,122,5689.6900000000005,474.1408333333334,1,VIP
CUST_0014,43,4,12,630.11,157.5275,2,Dormant
CUST_0015,9,7,50,1244.5200000000002,177.78857142857146,3,Standard
CUST_0016,37,20,194,6486.929999999999,324.3465,1,VIP
CUST_0017,23,5,15,431.97,86.394,3,Standard
CUST_0018,49,6,20,558.33,93.055,2,Dormant
CUST_0019,11,9,60,2573.4,285.93333333333334,3,Standard
CUST_0020,173,1,5,78.86,78.86,0,At Risk / Lost
CUST_0021,285,1,10,290.9,290.9,0,At Risk / Lost
CUST_0022,37,2,3,77.33,38.665,0,At Risk / Lost
CUST_0023,133,1,5,49.82,49.82,0,At Risk / Lost
CUST_0024,33,7,30,960.27,137.18142857142857,2,Dormant
CUST_0025,13,16,91,2939.99,183.749375,1,VIP
CUST_0026,14,14,123,6745.23,481.8021428571428,1,VIP
CUST_0027,132,1,1,26.29,26.29,0,At Risk / Lost
CUST_0028,27,12,73,3349.8999999999996,279.1583333333333,1,VIP
CUST_0029,107,3,9,258.77,86.25666666666666,0,At Risk / Lost
CUST_0030,56,1,4,34.48,34.48,0,At Risk / Lost
CUST_0031,167,3,4,173.95,57.98333333333333,0,At Risk / Lost
CUST_0032,256,1,5,251.20000000000002,251.20000000000002,0,At Risk / Lost
CUST_0033,12,39,562,54648.530000000006,1401.244358974359,1,VIP
CUST_0034,20,4,33,1148.0500000000002,287.01250000000005,3,Standard
CUST_0035,91,3,6,211.82999999999998,70.61,0,At Risk / Lost
CUST_0036,22,17,150,4648.18,273.4223529411765,1,VIP
CUST_0037,96,1,15,372.37,372.37,0,At Risk / Lost
CUST_0038,12,19,143,8846.43,465.6015789473684,1,VIP
CUST_0039,95,4,19,802.68,200.67,2,Dormant
CUST_0040,320,1,5,123.45,123.45,0,At Risk / Lost
CUST_0041,104,1,2,31.08,31.08,0,At Risk / Lost
CUST_0042,1,44,518,60177.64,1367.6736363636364,1,VIP
CUST_0043,75,3,20,869.31,289.77,2,Dormant
CUST_0044,22,11,68,2981.5600000000004,271.0509090909091,1,VIP
CUST_0045,133,4,18,626.01,156.5025,2,Dormant
CUST_0046,35,7,59,2192.8999999999996,313.27142857142854,2,Dormant
CUST_0047,362,1,1,43.0,43.0,0,At Risk / Lost
CUST_0048,178,1,13,446.43,446.43,0,At Risk / Lost
CUST_0049,227,1,1,15.36,15.36,0,At Risk / Lost
CUST_0050,26,36,617,70072.39,1946.4552777777778,1,VIP
CUST_0051,41,1,5,198.70000000000002,198.70000000000002,0,At Risk / Lost
CUST_0052,30,7,23,992.83,141.83285714285714,2,Dormant
CUST_0053,46,8,130,4488.749999999999,561.0937499999999,2,Dormant
CUST_0054,204,1,11,360.27,360.27,0,At Risk / Lost
CUST_0055,41,22,181,7297.41,331.70045454545453,1,VIP
CUST_0056,25,24,138,5192.320000000001,216.3466666666667,1,VIP
CUST_0057,67,3,20,1036.2799999999997,345.42666666666656,2,Dormant
CUST_0058,17,5,13,283.71999999999997,56.74399999999999,3,Standard
CUST_0059,4,15,127,6432.97,428.86466666666666,1,VIP
