InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
106811,SKU_8867,Rug,Home,4,2025-01-01,67.07,CUST_0857,United Kingdom
106010,SKU_2445,Vase,Home,4,2025-01-01,30.05,CUST_0754,France
116258,SKU_3918,Socks,Clothing,3,2025-01-01,18.65,CUST_1989,France
116258,SKU_5735,Candle Set,Home,3,2025-01-01,37.26,CUST_1989,France
116258,SKU_9114,Calendar,Books,4,2025-01-01,10.86,CUST_1989,France
106811,SKU_4268,Spatula Set,Kitchen,1,2025-01-01,139.41,CUST_0857,United Kingdom
106811,SKU_4411,Clock,Home,4,2025-01-01,159.84,CUST_0857,United Kingdom
107838,SKU_1880,Sketchbook,Books,1,2025-01-01,18.18,CUST_0975,Sweden
102171,SKU_8229,Cap,Clothing,1,2025-01-01,24.71,CUST_0259,United Kingdom
102171,SKU_3379,Monitor Arm,Electronics,3,2025-01-01,25.68,CUST_0259,United Kingdom
102171,SKU_3708,Cap,Clothing,4,2025-01-01,28.21,CUST_0259,United Kingdom
113948,SKU_5200,Mug,Kitchen,3,2025-01-01,33.9,CUST_1705,Portugal
113948,SKU_5113,Webcam,Electronics,1,2025-01-01,15.43,CUST_1705,Portugal
113948,SKU_4187,Keyboard,Electronics,3,2025-01-01,43.48,CUST_1705,Portugal
113948,SKU_4944,Socks,Clothing,1,2025-01-01,17.86,CUST_1705,Portugal
113948,SKU_9921,Lamp,Home,4,2025-01-01,33.31,CUST_1705,Portugal
102171,SKU_2630,Sketchbook,Books,3,2025-01-01,23.53,CUST_0259,United Kingdom
102171,SKU_4116,Laptop Stand,Electronics,4,2025-01-01,50.97,CUST_0259,United Kingdom
106010,SKU_4991,Socks,Clothing,2,2025-01-01,45.12,CUST_0754,France
102171,SKU_6575,Stickers,Books,5,2025-01-01,112.41,CUST_0259,United Kingdom
106010,SKU_4141,Jeans,Clothing,3,2025-01-01,132.59,CUST_0754,France
106010,SKU_1571,Keyboard,Electronics,1,2025-01-01,122.15,CUST_0754,France
100233,SKU_1914,Pen Set,Books,2,2025-01-01,37.59,CUST_0029,Italy
102151,SKU_9638,Cap,Clothing,2,2025-01-01,27.27,CUST_0259,United Kingdom
102151,SKU_1358,Stickers,Books,4,2025-01-01,115.07,CUST_0259,United Kingdom
102151,SKU_1142,Cushion,Home,2,2025-01-01,63.62,CUST_0259,United Kingdom
106811,SKU_9279,Monitor Arm,Electronics,1,2025-01-01,53.8,CUST_0857,United Kingdom
113341,SKU_7504,Laptop Stand,Electronics,2,2025-01-01,66.66,CUST_1636,United Kingdom
104549,SKU_8900,Cap,Clothing,1,2025-01-01,8.35,CUST_0548,Germany
110542,SKU_3629,Tea Set,Kitchen,5,2025-01-01,60.16,CUST_1307,Other
110184,SKU_7594,Rug,Home,2,2025-01-01,20.57,CUST_1266,United Kingdom
110184,SKU_4657,Monitor Arm,Electronics,5,2025-01-01,10.31,CUST_1266,United Kingdom
107029,SKU_7719,Notebook,Books,1,2025-01-01,13.28,CUST_0880,United Kingdom
106811,SKU_7844,Jeans,Clothing,4,2025-01-01,220.98,CUST_0857,United Kingdom
106811,SKU_3417,Charger,Electronics,4,2025-01-01,180.26,CUST_0857,United Kingdom
104604,SKU_2689,Apron,Kitchen,2,2025-01-01,52.39,CUST_0559,Spain
106010,SKU_9237,Rug,Home,2,2025-01-01,58.86,CUST_0754,France
107838,SKU_9990,Monitor Arm,Electronics,4,2025-01-01,16.73,CUST_0975,Sweden
106010,SKU_2534,Socks,Clothing,4,2025-01-01,48.86,CUST_0754,France
106010,SKU_8285,Frame,Home,1,2025-01-01,50.28,CUST_0754,France
102151,SKU_9060,Headphones,Electronics,3,2025-01-01,17.54,CUST_0259,United Kingdom
102171,SKU_9412,Stickers,Books,3,2025-01-01,110.23,CUST_0259,United Kingdom
107838,SKU_8275,Jeans,Clothing,4,2025-01-01,84.15,CUST_0975,Sweden
106052,SKU_7222,Rug,Home,5,2025-01-01,23.43,CUST_0758,France
109054,SKU_1806,Hoodie,Clothing,5,2025-01-01,117.41,CUST_1125,Netherlands
115281,SKU_5371,Cap,Clothing,2,2025-01-01,24.9,CUST_1875,Portugal
115281,SKU_3269,Charger,Electronics,2,2025-01-01,71.26,CUST_1875,Portugal
109054,SKU_4574,Jacket,Clothing,3,2025-01-01,30.91,CUST_1125,Netherlands
107029,SKU_5239,Vase,Home,2,2025-01-01,21.21,CUST_0880,United Kingdom
109054,SKU_8473,Monitor Arm,Electronics,4,2025-01-01,26.76,CUST_1125,Netherlands
109054,SKU_8835,Cushion,Home,5,2025-01-01,72.48,CUST_1125,Netherlands
109054,SKU_1436,Cutting Board,Kitchen,3,2025-01-01,33.65,CUST_1125,Netherlands
107029,SKU_5571,Wireless Mouse,Electronics,3,2025-01-01,89.44,CUST_0880,United Kingdom
107029,SKU_6739,Sneakers,Clothing,1,2025-01-01,36.9,CUST_0880,United Kingdom
113430,SKU_9340,Keyboard,Electronics,4,2025-01-01,74.47,CUST_1638,France
113430,SKU_3208,Spatula Set,Kitchen,1,2025-01-01,56.64,CUST_1638,France
113430,SKU_6740,Phone Case,Electronics,3,2025-01-01,72.42,CUST_1638,France
105377,SKU_1815,Jacket,Clothing,3,2025-01-01,17.47,CUST_0670,Sweden
105377,SKU_6195,Wireless Mouse,Electronics,5,2025-01-01,42.16,CUST_0670,Sweden
107029,SKU_4488,Jeans,Clothing,2,2025-01-01,98.23,CUST_0880,United Kingdom
106052,SKU_1835,Charger,Electronics,1,2025-01-01,47.37,CUST_0758,France
102171,SKU_1435,Socks,Clothing,1,2025-01-01,36.7,CUST_0259,United Kingdom
106133,SKU_2393,Candle Set,Home,2,2025-01-01,77.94,CUST_0770,Norway
107029,SKU_5206,Headphones,Electronics,5,2025-01-01,13.51,CUST_0880,United Kingdom
