product_category_name_english,to,do,br,dr,brr,add,ap,afr,d_br,o_br,lift
Unknown,1378,110,230,8.0,16.7,-10.7,127.58,30.9,62.7,12.7,4.9
agro_industry_and_commerce,177,8,22,4.5,12.4,-10.6,398.68,23.8,75.0,9.5,7.9
air_conditioning,245,10,33,4.1,13.5,-13.3,217.61,21.9,60.0,11.5,5.2
art,191,14,25,7.3,13.1,-12.1,121.64,27.7,50.0,10.2,4.9
audio,344,43,73,12.5,21.2,-9.4,148.83,32.5,72.1,14.0,5.2
auto,3793,310,484,8.2,12.8,-10.6,152.65,32.2,53.9,9.1,5.9
baby,2763,243,377,8.8,13.6,-10.8,144.71,28.6,61.7,9.0,6.9
bed_bath_table,9167,768,1427,8.4,15.6,-10.8,111.51,27.2,57.6,11.7,4.9
books_general_interest,493,32,30,6.5,6.1,-11.3,91.8,35.2,43.8,3.5,12.6
books_technical,255,23,24,9.0,9.4,-10.7,73.67,34.8,30.4,7.3,4.2
christmas_supplies,125,12,14,9.6,11.2,-11.5,70.03,65.1,41.7,8.0,5.2
cine_photo,63,5,7,7.9,11.1,-10.0,109.5,34.1,40.0,8.6,4.6
computers,176,11,19,6.2,10.8,-11.0,1234.63,5.6,54.5,7.9,6.9
computers_accessories,6501,477,934,7.3,14.4,-11.7,136.47,29.8,54.1,11.2,4.8
consoles_games,1014,71,110,7.0,10.8,-10.9,145.91,37.6,52.1,7.7,6.7
construction_tools_construction,728,65,95,8.9,13.0,-10.4,196.22,29.3,52.3,9.2,5.7
construction_tools_lights,231,17,20,7.4,8.7,-10.7,176.72,23.3,47.1,5.6,8.4
construction_tools_safety,154,6,24,3.9,15.6,-12.3,247.59,23.8,66.7,13.5,4.9
cool_stuff,3530,227,386,6.4,10.9,-11.8,173.15,20.7,57.7,7.7,7.5
costruction_tools_garden,183,12,21,6.6,11.5,-12.7,130.49,41.7,41.7,9.4,4.5
costruction_tools_tools,97,6,8,6.2,8.2,-11.6,163.96,37.8,33.3,6.6,5.1
drinks,284,18,27,6.3,9.5,-10.3,77.6,39.0,55.6,6.4,8.7
dvds_blu_ray,56,4,8,7.1,14.3,-12.6,82.81,81.6,100.0,7.7,13.0
electronics,2507,224,325,8.9,13.0,-10.4,62.25,68.7,52.7,9.1,5.8
fashion_bags_accessories,1810,112,183,6.2,10.1,-12.6,82.44,33.0,57.1,7.0,8.2
fashion_male_clothing,106,5,24,4.7,22.6,-12.9,98.61,27.2,60.0,20.8,2.9
fashion_shoes,233,13,24,5.6,10.3,-13.7,98.42,28.3,69.2,6.8,10.2
fashion_underwear_beach,117,14,19,12.0,16.2,-9.8,79.54,40.4,71.4,8.7,8.2
fixed_telephony,212,10,35,4.7,16.5,-14.3,261.3,42.0,70.0,13.9,5.0
food,435,38,44,8.7,10.1,-9.1,65.18,34.2,47.4,6.5,7.2
food_drink,218,11,9,5.0,4.1,-10.7,68.23,46.5,36.4,2.4,15.1
furniture_bedroom,89,7,10,7.9,11.2,-12.6,211.32,33.8,71.4,6.1,11.7
furniture_decor,6213,500,924,8.0,14.9,-11.7,115.17,32.4,55.2,11.3,4.9
furniture_living_room,409,34,54,8.3,13.2,-11.1,165.89,31.8,55.9,9.3,6.0
garden_tools,3414,253,403,7.4,11.8,-11.2,137.94,32.5,57.3,8.2,7.0
health_beauty,8608,726,966,8.4,11.2,-11.4,143.13,27.9,54.0,7.3,7.4
home_appliances,747,42,80,5.6,10.7,-12.0,105.53,39.2,50.0,8.4,6.0
home_appliances_2,226,16,28,7.1,12.4,-11.8,477.01,19.4,68.8,8.1,8.5
home_confort,370,37,65,10.0,17.6,-9.3,158.19,21.1,51.4,13.8,3.7
home_construction,466,35,71,7.5,15.2,-10.7,173.79,24.5,48.6,12.5,3.9
housewares,5688,353,654,6.2,11.5,-11.4,108.57,37.4,53.5,8.7,6.1
industry_commerce_and_business,229,17,23,7.4,10.0,-11.5,166.93,27.2,35.3,8.0,4.4
kitchen_dining_laundry_garden_furniture,239,11,26,4.6,10.9,-11.6,191.21,35.2,54.5,8.8,6.2
luggage_accessories,1008,51,79,5.1,7.8,-12.0,136.69,25.8,51.0,5.5,9.2
market_place,268,11,31,4.1,11.6,-13.2,103.04,31.7,45.5,10.1,4.5
musical_instruments,607,52,68,8.6,11.2,-10.9,303.56,24.9,61.5,6.5,9.5
office_furniture,1246,109,270,8.7,21.7,-11.2,214.57,26.4,56.9,18.3,3.1
perfumery,3073,215,356,7.0,11.6,-11.8,127.15,25.7,59.5,8.0,7.5
pet_shop,1682,100,175,5.9,10.4,-11.7,126.02,28.7,52.0,7.8,6.7
signaling_and_security,138,6,16,4.3,11.6,-11.1,155.04,43.5,50.0,9.8,5.1
small_appliances,606,34,68,5.6,11.2,-13.3,300.87,25.4,41.2,9.4,4.4
small_appliances_home_oven_and_coffee,72,5,5,6.9,6.9,-10.9,647.08,16.8,40.0,4.5,8.9
sports_leisure,7491,553,838,7.4,11.2,-11.2,127.64,28.2,58.2,7.4,7.8
stationery,2247,168,218,7.5,9.7,-11.4,99.8,30.8,56.0,6.0,9.4
tablets_printing_image,77,4,9,5.2,11.7,-12.5,95.88,23.0,50.0,9.6,5.2
telephony,4076,323,568,7.9,13.9,-10.7,76.08,50.8,50.5,10.8,4.7
toys,3779,262,424,6.9,11.2,-11.5,124.56,26.0,61.5,7.5,8.2
watches_gifts,5472,445,736,8.1,13.5,-11.2,212.64,16.5,57.5,9.5,6.0
