purchase_month,to,do,br,dr,brr,add,asc
2016-09,1,1,1,100.0,100.0,36.0,1.0
2016-10,265,2,43,0.8,16.2,-36.2,3.95
2016-12,1,0,0,0.0,0.0,-22.0,5.0
2017-01,750,23,89,3.1,11.9,-27.1,4.14
2017-02,1653,50,182,3.0,11.0,-18.9,4.17
2017-03,2546,128,284,5.0,11.2,-12.0,4.15
2017-04,2303,164,294,7.1,12.8,-12.6,4.11
2017-05,3546,111,353,3.1,10.0,-13.2,4.2
2017-06,3135,105,333,3.3,10.6,-12.2,4.18
2017-07,3872,123,383,3.2,9.9,-11.8,4.22
2017-08,4193,133,392,3.2,9.3,-12.4,4.28
2017-09,4150,206,424,5.0,10.2,-10.7,4.23
2017-10,4478,221,491,4.9,11.0,-11.2,4.17
2017-11,7289,976,1201,13.4,16.5,-7.5,3.95
2017-12,5513,442,786,8.0,14.3,-12.4,4.04
2018-01,7069,441,962,6.2,13.6,-12.3,4.07
2018-02,6555,1010,1257,15.4,19.2,-7.7,3.85
2018-03,7003,1436,1471,20.5,21.0,-5.8,3.77
2018-04,6798,341,793,5.0,11.7,-12.3,4.17
2018-05,6749,512,725,7.6,10.7,-11.6,4.22
2018-06,6099,80,607,1.3,10.0,-18.6,4.29
2018-07,6159,251,592,4.1,9.6,-10.8,4.29
2018-08,6351,551,604,8.7,9.5,-7.5,4.29
